Tila;Epoch-aika;Päivä;Kuukausi;Vuosi;Tunti;Minuutti;Määrä
1478;1569878040;01;10;2019;00;14;0
1478;1569879000;01;10;2019;00;30;0
1478;1569879960;01;10;2019;00;46;0
1478;1569880920;01;10;2019;01;02;0
1478;1569881880;01;10;2019;01;18;0
1478;1569882840;01;10;2019;01;34;0
1478;1569883800;01;10;2019;01;50;0
1478;1569884760;01;10;2019;02;06;0
1478;1569885720;01;10;2019;02;22;0
1478;1569886680;01;10;2019;02;38;0
1478;1569887640;01;10;2019;02;54;0
1478;1569888600;01;10;2019;03;10;0
1478;1569889560;01;10;2019;03;26;0
1478;1569890520;01;10;2019;03;42;0
1478;1569891480;01;10;2019;03;58;0
1478;1569892440;01;10;2019;04;14;0
1478;1569893400;01;10;2019;04;30;0
1478;1569894360;01;10;2019;04;46;0
1478;1569895320;01;10;2019;05;02;0
1478;1569896280;01;10;2019;05;18;0
1478;1569897240;01;10;2019;05;34;0
1478;1569898200;01;10;2019;05;50;0
1478;1569899160;01;10;2019;06;06;0
1478;1569900120;01;10;2019;06;22;0
1478;1569901080;01;10;2019;06;38;0
1478;1569902040;01;10;2019;06;54;0
1478;1569903000;01;10;2019;07;10;0
1478;1569903960;01;10;2019;07;26;0
1478;1569904920;01;10;2019;07;42;0
1478;1569905880;01;10;2019;07;58;0
1478;1569906840;01;10;2019;08;14;5
1478;1569907800;01;10;2019;08;30;5
1478;1569908760;01;10;2019;08;46;7
1478;1569909720;01;10;2019;09;02;14
1478;1569910680;01;10;2019;09;18;20
1478;1569911640;01;10;2019;09;34;22
1478;1569912600;01;10;2019;09;50;23
1478;1569913560;01;10;2019;10;06;20
1478;1569914520;01;10;2019;10;22;22
1478;1569915480;01;10;2019;10;38;19
1478;1569916440;01;10;2019;10;54;20
1478;1569917400;01;10;2019;11;10;20
1478;1569918360;01;10;2019;11;26;20
1478;1569919320;01;10;2019;11;42;19
1478;1569920280;01;10;2019;11;58;19
1478;1569921240;01;10;2019;12;14;6
1478;1569922200;01;10;2019;12;30;14
1478;1569923160;01;10;2019;12;46;14
1478;1569924120;01;10;2019;13;02;12
1478;1569925080;01;10;2019;13;18;10
1478;1569926040;01;10;2019;13;34;8
1478;1569927000;01;10;2019;13;50;6
1478;1569927960;01;10;2019;14;06;6
1478;1569928920;01;10;2019;14;22;7
1478;1569929880;01;10;2019;14;38;4
1478;1569930840;01;10;2019;14;54;3
1478;1569931800;01;10;2019;15;10;5
1478;1569932760;01;10;2019;15;26;6
1478;1569933720;01;10;2019;15;42;5
1478;1569934680;01;10;2019;15;58;6
1478;1569935640;01;10;2019;16;14;8
1478;1569936600;01;10;2019;16;30;14
1478;1569937560;01;10;2019;16;46;14
1478;1569938520;01;10;2019;17;02;13
1478;1569939480;01;10;2019;17;18;11
1478;1569940440;01;10;2019;17;34;10
1478;1569941400;01;10;2019;17;50;7
1478;1569942360;01;10;2019;18;06;4
1478;1569943320;01;10;2019;18;22;2
1478;1569944280;01;10;2019;18;38;1
1478;1569945240;01;10;2019;18;54;1
1478;1569946200;01;10;2019;19;10;1
1478;1569947160;01;10;2019;19;26;1
1478;1569948120;01;10;2019;19;42;1
1478;1569949080;01;10;2019;19;58;1
1478;1569950040;01;10;2019;20;14;0
1478;1569951000;01;10;2019;20;30;0
1478;1569951960;01;10;2019;20;46;0
1478;1569952920;01;10;2019;21;02;0
1478;1569953880;01;10;2019;21;18;0
1478;1569954840;01;10;2019;21;34;0
1478;1569955800;01;10;2019;21;50;0
1478;1569956760;01;10;2019;22;06;0
1478;1569957720;01;10;2019;22;22;0
1478;1569958680;01;10;2019;22;38;0
1478;1569959640;01;10;2019;22;54;0
1478;1569960600;01;10;2019;23;10;0
1478;1569961560;01;10;2019;23;26;0
1478;1569962520;01;10;2019;23;42;0
1478;1569963480;01;10;2019;23;58;0
1478;1569964440;02;10;2019;00;14;0
1478;1569965400;02;10;2019;00;30;0
1478;1569966360;02;10;2019;00;46;0
1478;1569967320;02;10;2019;01;02;0
1478;1569968280;02;10;2019;01;18;0
1478;1569969240;02;10;2019;01;34;0
1478;1569970200;02;10;2019;01;50;0
1478;1569971160;02;10;2019;02;06;0
1478;1569972120;02;10;2019;02;22;0
1478;1569973080;02;10;2019;02;38;0
1478;1569974040;02;10;2019;02;54;0
1478;1569975000;02;10;2019;03;10;0
1478;1569975960;02;10;2019;03;26;0
1478;1569976920;02;10;2019;03;42;0
1478;1569977880;02;10;2019;03;58;0
1478;1569978840;02;10;2019;04;14;0
1478;1569979800;02;10;2019;04;30;0
1478;1569980760;02;10;2019;04;46;0
1478;1569981720;02;10;2019;05;02;0
1478;1569982680;02;10;2019;05;18;0
1478;1569983640;02;10;2019;05;34;0
1478;1569984600;02;10;2019;05;50;0
1478;1569985560;02;10;2019;06;06;0
1478;1569986520;02;10;2019;06;22;0
1478;1569987480;02;10;2019;06;38;0
1478;1569988440;02;10;2019;06;54;0
1478;1569989400;02;10;2019;07;10;0
1478;1569990360;02;10;2019;07;26;0
1478;1569991320;02;10;2019;07;42;0
1478;1569992280;02;10;2019;07;58;0
1478;1569993240;02;10;2019;08;14;1
1478;1569994200;02;10;2019;08;30;1
1478;1569995160;02;10;2019;08;46;1
1478;1569996120;02;10;2019;09;02;1
1478;1569997080;02;10;2019;09;18;1
1478;1569998040;02;10;2019;09;34;1
1478;1569999000;02;10;2019;09;50;1
1478;1569999960;02;10;2019;10;06;6
1478;1570000920;02;10;2019;10;22;18
1478;1570001880;02;10;2019;10;38;17
1478;1570002840;02;10;2019;10;54;16
1478;1570003800;02;10;2019;11;10;16
1478;1570004760;02;10;2019;11;26;20
1478;1570005720;02;10;2019;11;42;2
1478;1570006680;02;10;2019;11;58;1
1478;1570007640;02;10;2019;12;14;2
1478;1570008600;02;10;2019;12;30;1
1478;1570009560;02;10;2019;12;46;1
1478;1570010520;02;10;2019;13;02;5
1478;1570011480;02;10;2019;13;18;8
1478;1570012440;02;10;2019;13;34;9
1478;1570013400;02;10;2019;13;50;8
1478;1570014360;02;10;2019;14;06;17
1478;1570015320;02;10;2019;14;22;27
1478;1570016280;02;10;2019;14;38;30
1478;1570017240;02;10;2019;14;54;28
1478;1570018200;02;10;2019;15;10;30
1478;1570019160;02;10;2019;15;26;26
1478;1570020120;02;10;2019;15;42;26
1478;1570021080;02;10;2019;15;58;24
1478;1570022040;02;10;2019;16;14;7
1478;1570023000;02;10;2019;16;30;1
1478;1570023960;02;10;2019;16;46;1
1478;1570024920;02;10;2019;17;02;2
1478;1570025880;02;10;2019;17;18;1
1478;1570026840;02;10;2019;17;34;1
1478;1570027800;02;10;2019;17;50;1
1478;1570028760;02;10;2019;18;06;1
1478;1570029720;02;10;2019;18;22;1
1478;1570030680;02;10;2019;18;38;2
1478;1570031640;02;10;2019;18;54;1
1478;1570032600;02;10;2019;19;10;1
1478;1570033560;02;10;2019;19;26;1
1478;1570034520;02;10;2019;19;42;1
1478;1570035480;02;10;2019;19;58;0
1478;1570036440;02;10;2019;20;14;0
1478;1570037400;02;10;2019;20;30;0
1478;1570038360;02;10;2019;20;46;0
1478;1570039320;02;10;2019;21;02;0
1478;1570040280;02;10;2019;21;18;0
1478;1570041240;02;10;2019;21;34;0
1478;1570042200;02;10;2019;21;50;0
1478;1570043160;02;10;2019;22;06;0
1478;1570044120;02;10;2019;22;22;0
1478;1570045080;02;10;2019;22;38;0
1478;1570046040;02;10;2019;22;54;0
1478;1570047000;02;10;2019;23;10;0
1478;1570047960;02;10;2019;23;26;0
1478;1570048920;02;10;2019;23;42;0
1478;1570049880;02;10;2019;23;58;0
1478;1570050840;03;10;2019;00;14;0
1478;1570051800;03;10;2019;00;30;0
1478;1570052760;03;10;2019;00;46;0
1478;1570053720;03;10;2019;01;02;0
1478;1570054680;03;10;2019;01;18;0
1478;1570055640;03;10;2019;01;34;0
1478;1570056600;03;10;2019;01;50;0
1478;1570057560;03;10;2019;02;06;0
1478;1570058520;03;10;2019;02;22;0
1478;1570059480;03;10;2019;02;38;0
