Tila;Epoch-aika;Päivä;Kuukausi;Vuosi;Tunti;Minuutti;Määrä
7443;1567296600;01;09;2019;03;10;0
7443;1567297260;01;09;2019;03;21;0
7443;1567297920;01;09;2019;03;32;0
7443;1567298580;01;09;2019;03;43;0
7443;1567299240;01;09;2019;03;54;0
7443;1567299900;01;09;2019;04;05;0
7443;1567300560;01;09;2019;04;16;0
7443;1567301220;01;09;2019;04;27;0
7443;1567301880;01;09;2019;04;38;0
7443;1567302540;01;09;2019;04;49;0
7443;1567303200;01;09;2019;05;00;0
7443;1567303860;01;09;2019;05;11;0
7443;1567304520;01;09;2019;05;22;0
7443;1567305180;01;09;2019;05;33;0
7443;1567305840;01;09;2019;05;44;0
7443;1567306500;01;09;2019;05;55;0
7443;1567307160;01;09;2019;06;06;0
7443;1567307820;01;09;2019;06;17;0
7443;1567308480;01;09;2019;06;28;0
7443;1567309140;01;09;2019;06;39;0
7443;1567309800;01;09;2019;06;50;0
7443;1567310460;01;09;2019;07;01;0
7443;1567311120;01;09;2019;07;12;0
7443;1567311780;01;09;2019;07;23;0
7443;1567312440;01;09;2019;07;34;0
7443;1567313100;01;09;2019;07;45;0
7443;1567313760;01;09;2019;07;56;0
7443;1567314420;01;09;2019;08;07;0
7443;1567315080;01;09;2019;08;18;0
7443;1567315740;01;09;2019;08;29;0
7443;1567316400;01;09;2019;08;40;0
7443;1567317060;01;09;2019;08;51;0
7443;1567317720;01;09;2019;09;02;0
7443;1567318380;01;09;2019;09;13;0
7443;1567319040;01;09;2019;09;24;0
7443;1567319700;01;09;2019;09;35;0
7443;1567320360;01;09;2019;09;46;0
7443;1567321020;01;09;2019;09;57;0
7443;1567321680;01;09;2019;10;08;0
7443;1567322340;01;09;2019;10;19;0
7443;1567323000;01;09;2019;10;30;0
7443;1567323660;01;09;2019;10;41;0
7443;1567324320;01;09;2019;10;52;0
7443;1567324980;01;09;2019;11;03;0
7443;1567325640;01;09;2019;11;14;0
7443;1567326300;01;09;2019;11;25;0
7443;1567326960;01;09;2019;11;36;0
7443;1567327620;01;09;2019;11;47;0
7443;1567328280;01;09;2019;11;58;0
7443;1567328940;01;09;2019;12;09;0
7443;1567329600;01;09;2019;12;20;0
7443;1567330260;01;09;2019;12;31;0
7443;1567330920;01;09;2019;12;42;0
7443;1567331580;01;09;2019;12;53;0
7443;1567332240;01;09;2019;13;04;0
7443;1567332900;01;09;2019;13;15;0
7443;1567333560;01;09;2019;13;26;0
7443;1567334220;01;09;2019;13;37;0
7443;1567334880;01;09;2019;13;48;0
7443;1567335540;01;09;2019;13;59;0
7443;1567336200;01;09;2019;14;10;0
7443;1567336860;01;09;2019;14;21;0
7443;1567337520;01;09;2019;14;32;0
7443;1567338180;01;09;2019;14;43;0
7443;1567338840;01;09;2019;14;54;0
7443;1567339500;01;09;2019;15;05;0
7443;1567340160;01;09;2019;15;16;0
7443;1567340820;01;09;2019;15;27;0
7443;1567341480;01;09;2019;15;38;0
7443;1567342140;01;09;2019;15;49;0
7443;1567342800;01;09;2019;16;00;0
